LTS,OOP,coffee,collaborative,comments,comparative_ratio,desktop,experience,functional_programming,gamer,graphical_app,indentation,limited_sleep,multiplatform,online_documentation,performance,simple_syntax,video_game,class
Yes,No,Yes,Yes,22.74,0.9641,No,9.4,No,Yes,No,No,Yes,Yes,Yes,No,No,No,java
No,Yes,Yes,Yes,26.58,1.0303,Yes,5.4,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,java
No,Yes,No,Yes,12.55,0.9876,No,2.3,No,Yes,No,No,No,No,Yes,No,No,No,java
Yes,Yes,Yes,No,23.95,1.0136,Yes,8.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,java
Yes,No,Yes,Yes,20.37,0.9645,No,18.6,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,20.67,1.0508,No,0.3,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,java
Yes,No,Yes,Yes,15.02,0.9761,Yes,14.9,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,java
Yes,No,No,No,14.09,0.9411,Yes,4.1,No,No,No,No,No,Yes,No,Yes,No,No,java
Yes,Yes,Yes,No,14.46,0.9826,No,2.9,No,No,No,Yes,Yes,Yes,No,No,No,No,java
Yes,No,No,Yes,23.08,0.9414,Yes,4.9,No,No,No,No,Yes,No,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,19.12,0.9864,No,9.3,No,No,Yes,No,Yes,Yes,No,Yes,No,No,java
Yes,Yes,No,Yes,26.22,0.9428,No,10.7,No,No,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,No,Yes,Yes,23.01,1.0288,No,15.3,No,Yes,Yes,No,No,No,Yes,No,No,No,java
Yes,No,Yes,No,23.55,0.9395,No,5.6,No,No,No,No,No,Yes,Yes,No,No,Yes,java
No,No,No,No,27.07,1.0866,Yes,9.7,No,Yes,No,No,No,No,No,No,No,No,java
Yes,No,Yes,No,16.70,1.0179,Yes,13.8,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,19.03,1.0225,No,10.8,No,No,Yes,No,No,Yes,No,Yes,No,No,java
Yes,No,No,No,25.01,1.0516,Yes,8.0,No,No,Yes,Yes,Yes,No,Yes,No,No,No,java
Yes,No,Yes,Yes,12.47,1.0353,Yes,14.9,No,Yes,No,No,No,No,Yes,Yes,No,No,java
Yes,Yes,No,No,20.64,1.0296,No,8.0,No,No,Yes,No,Yes,No,Yes,Yes,No,No,java
Yes,Yes,Yes,No,16.00,0.9471,Yes,8.4,No,Yes,No,No,No,Yes,No,Yes,Yes,No,java
Yes,Yes,Yes,No,16.60,1.0181,No,18.7,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,java
Yes,Yes,Yes,No,20.16,1.0331,No,15.2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,17.10,1.0030,Yes,3.7,No,Yes,No,No,Yes,No,No,Yes,Yes,No,java
Yes,Yes,Yes,No,24.32,0.9410,No,18.4,No,Yes,No,No,Yes,No,No,No,No,No,java
Yes,Yes,Yes,Yes,23.01,1.0140,No,14.2,No,No,No,Yes,No,No,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,19.81,1.0241,Yes,1.7,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,java
Yes,No,No,No,21.41,0.9145,No,5.7,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,27.84,1.0075,Yes,1.5,No,Yes,No,No,Yes,No,Yes,No,Yes,No,java
Yes,Yes,Yes,No,25.46,0.8792,Yes,19.3,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,No,No,15.13,1.0489,No,0.2,No,No,No,No,No,No,No,No,No,No,java
Yes,Yes,Yes,No,21.40,0.9797,Yes,12.7,No,Yes,No,No,Yes,Yes,No,Yes,No,No,java
No,Yes,Yes,Yes,14.17,0.9684,Yes,7.5,No,Yes,Yes,No,Yes,No,No,No,No,No,java
Yes,Yes,Yes,No,10.81,1.0395,Yes,0.2,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,21.94,1.0457,No,10.2,No,No,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,Yes,Yes,No,13.77,0.9765,No,4.9,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,22.04,0.9984,No,0.5,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,java
Yes,Yes,Yes,Yes,17.58,1.0910,No,6.7,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,No,Yes,No,21.80,0.9850,Yes,5.3,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,java
Yes,Yes,Yes,Yes,20.88,1.0690,Yes,20.0,No,No,Yes,No,No,Yes,No,Yes,Yes,No,java
Yes,Yes,No,No,15.22,1.0265,Yes,9.9,No,No,No,Yes,No,Yes,No,Yes,No,No,java
Yes,Yes,Yes,Yes,18.82,1.0003,Yes,19.6,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,java
Yes,Yes,Yes,No,22.05,0.9731,No,8.1,No,No,Yes,No,No,No,No,No,No,Yes,java
No,Yes,Yes,Yes,25.53,1.0075,Yes,18.8,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,java
Yes,Yes,Yes,No,20.97,0.9812,No,17.2,Yes,No,Yes,Yes,Yes,No,No,No,No,No,java
Yes,Yes,Yes,Yes,27.32,0.9794,Yes,18.7,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,java
Yes,Yes,Yes,Yes,16.35,0.9167,No,4.5,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,17.68,1.0271,No,4.6,No,No,No,Yes,Yes,Yes,Yes,No,No,No,java
Yes,No,Yes,Yes,18.71,0.9970,Yes,9.1,No,No,No,No,No,No,Yes,Yes,Yes,No,java
No,Yes,No,No,16.42,1.0535,No,8.7,No,Yes,No,No,No,No,Yes,No,No,Yes,java
Yes,No,Yes,Yes,18.20,0.9264,No,2.9,No,Yes,Yes,No,Yes,No,Yes,No,No,No,java
Yes,No,Yes,No,22.78,1.0342,Yes,19.6,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,java
Yes,Yes,No,Yes,23.77,0.8855,No,15.5,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,No,21.60,0.9600,No,14.9,No,No,No,Yes,No,No,Yes,No,Yes,No,java
Yes,Yes,No,No,22.32,0.9949,Yes,8.4,No,No,No,No,Yes,Yes,Yes,No,No,No,java
Yes,Yes,Yes,Yes,27.11,0.9723,No,3.0,No,No,Yes,Yes,Yes,No,Yes,No,No,No,java
Yes,Yes,No,No,14.60,1.0794,No,3.2,No,Yes,No,No,No,No,Yes,No,Yes,No,java
No,Yes,Yes,Yes,24.66,0.9911,No,14.6,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,java
Yes,No,Yes,No,25.59,0.9512,No,7.5,No,No,No,No,Yes,Yes,No,No,No,No,java
