LTS,OOP,coffee,collaborative,comments,comparative_ratio,desktop,experience,functional_programming,gamer,graphical_app,indentation,limited_sleep,multiplatform,online_documentation,performance,simple_syntax,video_game,class
No,No,No,Yes,24.65,0.9983,No,7.3,No,No,Yes,No,Yes,Yes,Yes,No,No,No,java
Yes,Yes,Yes,No,18.76,0.9993,Yes,17.3,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,No,Yes,26.31,0.9219,No,8.0,No,No,No,Yes,No,No,Yes,Yes,No,No,java
Yes,Yes,Yes,No,15.43,0.8993,No,13.6,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,java
Yes,No,No,No,19.44,1.0124,No,9.2,No,Yes,No,Yes,No,No,Yes,No,No,No,java
Yes,Yes,Yes,No,10.69,0.8967,Yes,9.4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,java
Yes,Yes,No,No,21.58,1.0642,Yes,19.4,No,No,No,Yes,Yes,No,No,No,No,Yes,java
Yes,Yes,No,No,14.42,1.0419,Yes,18.1,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,java
Yes,Yes,Yes,No,17.43,1.0511,Yes,4.9,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,java
Yes,Yes,Yes,No,25.52,1.0285,Yes,5.3,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,16.26,0.9900,No,11.2,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,22.40,1.0106,Yes,7.2,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,13.58,1.0146,Yes,9.1,No,Yes,Yes,No,Yes,No,No,No,Yes,No,java
Yes,Yes,Yes,No,23.10,0.9798,No,12.2,No,No,No,Yes,No,No,No,No,No,No,java
Yes,Yes,Yes,Yes,30.03,1.0369,Yes,15.1,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,java
No,Yes,Yes,Yes,19.61,0.9290,Yes,5.5,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,21.17,1.1162,No,1.9,No,No,No,Yes,Yes,Yes,Yes,No,No,No,java
Yes,Yes,Yes,No,25.15,0.9624,Yes,12.1,No,No,No,Yes,Yes,No,No,No,No,No,java
Yes,Yes,No,Yes,19.72,1.0449,Yes,6.3,No,No,No,No,No,No,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,24.61,0.9244,Yes,13.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,java
Yes,Yes,Yes,No,14.85,1.0042,Yes,0.5,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,20.17,0.9706,Yes,11.6,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,java
Yes,No,Yes,No,27.92,0.8886,No,2.6,No,Yes,Yes,Yes,No,No,Yes,No,No,No,java
Yes,Yes,Yes,Yes,21.39,0.9733,Yes,19.1,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,java
Yes,No,Yes,Yes,25.66,0.9626,No,15.3,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,java
Yes,Yes,No,Yes,24.50,0.9801,Yes,16.3,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,java
Yes,Yes,Yes,Yes,19.70,1.0443,No,0.8,No,Yes,Yes,No,No,No,No,No,Yes,No,java
Yes,No,Yes,Yes,14.86,0.9904,No,14.0,No,No,No,No,No,No,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,14.06,1.0528,Yes,0.7,No,No,No,Yes,Yes,No,Yes,No,Yes,No,java
Yes,No,Yes,Yes,20.30,0.8970,No,7.8,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,java
Yes,No,Yes,No,19.27,1.0279,Yes,9.5,No,No,Yes,No,No,Yes,Yes,No,No,Yes,java
Yes,No,No,No,10.87,0.9392,No,8.4,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,20.40,0.9146,Yes,5.6,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,java
Yes,Yes,No,No,18.05,1.0471,No,6.1,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,28.69,0.9344,No,5.0,No,No,No,No,Yes,Yes,No,No,Yes,No,java
No,Yes,Yes,Yes,23.96,0.9539,Yes,7.4,No,No,No,No,No,No,Yes,No,Yes,No,java
Yes,No,Yes,Yes,8.06,1.0069,Yes,9.5,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,java
Yes,Yes,Yes,Yes,18.18,1.0873,No,6.6,No,No,Yes,Yes,Yes,Yes,No,No,No,No,java
Yes,Yes,Yes,Yes,17.61,0.9233,No,18.5,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,java
Yes,No,Yes,Yes,19.43,1.0020,No,5.0,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,15.34,0.9565,Yes,13.3,No,No,No,Yes,No,Yes,Yes,No,No,No,java
Yes,No,Yes,Yes,8.75,0.8547,Yes,20.0,No,No,No,No,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,19.16,0.9745,Yes,2.5,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,java
No,Yes,Yes,No,17.89,1.0570,No,5.6,No,No,Yes,No,No,No,Yes,No,No,No,java
Yes,Yes,No,Yes,20.05,0.9763,No,8.3,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,java
No,Yes,Yes,Yes,17.37,1.0702,No,3.2,Yes,No,No,Yes,Yes,Yes,No,No,No,No,java
