LTS,OOP,coffee,collaborative,comments,comparative_ratio,desktop,experience,functional_programming,gamer,graphical_app,indentation,limited_sleep,multiplatform,online_documentation,performance,simple_syntax,video_game,class
Yes,No,No,No,19.79,1.0370,No,4.7,No,No,No,Yes,Yes,No,Yes,No,Yes,No,java
Yes,Yes,Yes,No,30.71,1.0399,No,9.5,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,41.16,0.9537,Yes,1.6,No,No,No,Yes,No,Yes,Yes,No,No,No,java
Yes,Yes,Yes,Yes,19.97,1.0407,Yes,12.9,No,Yes,No,No,No,No,Yes,No,Yes,No,java
Yes,Yes,Yes,No,15.11,0.8751,Yes,2.7,No,No,Yes,No,Yes,No,No,Yes,No,No,java
Yes,Yes,No,Yes,17.81,1.0710,Yes,19.1,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,java
Yes,Yes,No,Yes,19.61,0.9434,Yes,1.8,No,No,Yes,No,No,No,No,Yes,Yes,No,java
Yes,No,No,No,31.50,0.9846,No,5.5,No,No,Yes,No,Yes,Yes,Yes,No,No,No,java
No,No,Yes,No,14.72,0.9929,No,10.1,No,Yes,No,Yes,Yes,No,No,No,No,No,java
Yes,Yes,Yes,Yes,19.87,1.0522,No,10.2,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,java
Yes,Yes,Yes,Yes,13.20,0.9969,Yes,3.4,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,19.10,0.9958,No,4.8,No,No,Yes,No,Yes,No,No,No,Yes,Yes,java
Yes,No,Yes,No,20.15,0.9882,Yes,12.4,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,java
No,Yes,Yes,Yes,22.22,0.9977,No,17.0,No,No,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,No,Yes,Yes,18.35,1.0612,Yes,10.0,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,java
Yes,Yes,Yes,No,22.09,1.0604,No,8.3,No,No,No,No,Yes,Yes,No,Yes,No,No,java
Yes,Yes,No,No,28.46,0.9781,No,16.9,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,20.42,1.0342,No,15.7,No,No,No,No,Yes,No,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,17.06,1.0057,No,2.6,No,Yes,No,No,No,No,No,No,No,No,java
Yes,Yes,Yes,No,33.84,1.0201,Yes,15.1,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,22.70,1.0104,No,18.9,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,java
Yes,Yes,Yes,No,33.51,1.0209,No,0.3,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,java
Yes,Yes,No,Yes,17.32,1.0107,Yes,12.8,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,java
No,Yes,Yes,Yes,15.29,1.0416,No,17.6,No,No,Yes,Yes,Yes,No,Yes,No,No,No,java
Yes,No,Yes,No,25.07,1.0038,No,19.0,No,Yes,No,No,Yes,No,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,14.52,0.9209,Yes,10.9,Yes,Yes,No,No,No,No,No,No,Yes,No,python
No,No,No,No,15.39,1.0175,Yes,2.3,No,Yes,No,Yes,No,No,Yes,No,Yes,No,python
Yes,No,No,Yes,22.16,1.0790,No,5.7,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,python
No,No,Yes,Yes,16.51,1.0868,No,13.3,No,No,No,No,Yes,Yes,Yes,No,Yes,No,python
Yes,No,Yes,No,21.58,0.8984,Yes,12.4,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,python
Yes,Yes,No,Yes,16.90,1.0193,No,3.1,No,No,No,No,Yes,Yes,No,No,Yes,No,python
Yes,Yes,No,Yes,15.67,1.0392,Yes,8.3,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,python
Yes,No,Yes,No,36.41,0.9116,No,6.5,No,No,No,Yes,No,No,Yes,No,Yes,No,python
Yes,Yes,Yes,Yes,20.19,0.9664,Yes,7.6,No,No,No,Yes,Yes,No,No,Yes,No,No,python
Yes,Yes,Yes,Yes,25.69,1.0462,No,10.4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,python
Yes,Yes,Yes,No,21.64,1.0220,No,0.2,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,python
Yes,Yes,Yes,Yes,14.01,0.9803,No,6.8,No,No,No,Yes,No,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,Yes,11.63,1.0147,No,11.5,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,Yes,15.03,1.0303,No,8.4,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,python
Yes,No,No,Yes,20.78,0.9638,No,0.9,No,Yes,No,No,Yes,No,Yes,No,No,No,python
Yes,No,Yes,No,19.58,0.9676,No,8.8,No,No,No,No,Yes,Yes,No,No,Yes,No,python
Yes,Yes,No,No,18.44,1.1036,No,3.7,Yes,Yes,Yes,No,No,No,No,No,Yes,No,python
Yes,No,No,Yes,25.81,1.0914,No,2.5,No,Yes,No,Yes,Yes,No,Yes,No,No,No,python
Yes,No,No,Yes,17.30,1.0071,No,1.6,No,No,No,No,Yes,No,Yes,No,Yes,No,python
No,Yes,No,Yes,16.53,0.8868,Yes,14.9,No,Yes,No,No,No,Yes,No,No,Yes,No,python
Yes,No,Yes,No,17.25,0.9551,No,1.0,No,No,No,No,Yes,No,Yes,No,Yes,No,python
Yes,Yes,Yes,Yes,24.90,0.9920,Yes,3.0,No,Yes,No,Yes,No,Yes,No,Yes,No,No,python
No,No,Yes,No,18.37,1.0368,Yes,5.1,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,python
Yes,No,No,Yes,11.88,0.9659,No,5.2,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,python
Yes,Yes,No,Yes,15.29,0.9548,No,10.4,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,python
