LTS,OOP,coffee,collaborative,comments,comparative_ratio,desktop,experience,functional_programming,gamer,graphical_app,indentation,limited_sleep,multiplatform,online_documentation,performance,simple_syntax,video_game,class
Yes,Yes,Yes,No,24.20,1.0302,Yes,5.7,No,No,No,No,No,No,No,Yes,No,No,java
Yes,Yes,Yes,Yes,21.17,1.0019,Yes,5.9,No,No,No,Yes,No,No,No,No,No,No,java
No,No,Yes,No,15.89,1.0230,No,5.1,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,java
Yes,Yes,No,Yes,26.17,0.9964,No,19.9,No,No,Yes,Yes,No,No,No,Yes,Yes,No,java
Yes,Yes,Yes,No,18.45,1.0090,No,16.9,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,java
Yes,No,Yes,Yes,18.29,0.9610,Yes,17.8,No,Yes,No,No,Yes,Yes,No,Yes,No,No,java
Yes,Yes,No,No,15.64,1.0774,No,13.2,No,No,Yes,No,Yes,Yes,Yes,No,No,No,java
Yes,Yes,Yes,No,19.07,0.9936,No,14.9,No,No,No,Yes,Yes,Yes,Yes,No,No,No,java
Yes,No,Yes,Yes,21.21,0.9566,Yes,3.7,No,Yes,No,Yes,Yes,No,No,No,Yes,No,java
No,No,Yes,No,14.49,1.0187,Yes,9.3,No,No,Yes,No,Yes,No,Yes,No,No,No,java
No,No,Yes,Yes,17.58,0.9688,Yes,18.5,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,18.31,1.0028,No,8.3,No,Yes,No,Yes,No,No,No,No,Yes,No,java
No,Yes,Yes,Yes,26.35,0.9713,Yes,9.0,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,19.08,1.0426,Yes,1.3,No,No,No,No,Yes,No,Yes,No,Yes,No,java
Yes,Yes,No,Yes,19.41,1.0414,No,17.2,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,java
Yes,Yes,Yes,Yes,23.82,0.9651,Yes,14.4,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,java
No,No,Yes,Yes,18.59,1.0547,No,15.5,No,Yes,No,No,Yes,No,Yes,No,No,No,java
Yes,No,No,No,27.35,0.9492,No,17.3,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,java
Yes,Yes,No,Yes,15.72,1.0521,Yes,3.4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,java
No,No,No,No,15.88,0.9910,Yes,11.5,No,No,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,28.31,0.9901,Yes,7.4,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,java
Yes,No,Yes,No,25.98,0.9981,Yes,12.6,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,java
No,No,No,Yes,18.91,0.9929,No,2.2,No,No,No,No,Yes,Yes,Yes,No,No,Yes,java
Yes,No,No,No,10.30,1.0254,Yes,1.9,No,No,No,Yes,No,Yes,No,No,Yes,No,java
Yes,Yes,Yes,Yes,25.10,0.9717,Yes,6.2,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,19.51,0.9839,No,11.3,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,No,Yes,Yes,25.38,0.9317,No,10.4,No,Yes,No,No,Yes,No,No,Yes,Yes,No,java
Yes,Yes,Yes,Yes,22.33,1.0378,No,7.5,No,No,Yes,Yes,No,Yes,No,No,No,No,java
Yes,No,Yes,Yes,22.54,0.9672,No,7.5,No,No,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,22.20,1.0336,Yes,10.5,No,Yes,Yes,No,Yes,No,Yes,No,No,No,java
Yes,No,Yes,No,15.22,1.0568,No,10.4,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,java
Yes,Yes,Yes,No,17.24,1.0486,Yes,16.6,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,Yes,Yes,No,30.46,0.9756,No,3.5,No,No,No,Yes,No,No,No,No,Yes,No,java
Yes,Yes,No,No,21.12,1.0731,Yes,6.4,No,No,No,No,No,Yes,No,No,Yes,No,java
No,Yes,Yes,No,21.79,0.9867,No,4.2,No,No,No,Yes,No,No,Yes,Yes,No,No,java
Yes,No,Yes,No,16.55,1.0362,Yes,15.4,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,java
Yes,Yes,Yes,Yes,31.43,0.9084,Yes,7.5,No,Yes,No,Yes,Yes,No,No,No,Yes,No,java
Yes,Yes,Yes,No,21.19,0.9924,No,2.0,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,java
Yes,No,Yes,No,17.23,0.9401,No,5.6,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,java
Yes,No,Yes,Yes,18.76,1.0312,Yes,3.6,No,No,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,No,Yes,Yes,14.21,1.0647,No,17.8,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,java
Yes,Yes,No,Yes,25.66,0.9907,No,2.4,No,Yes,No,No,Yes,No,No,No,Yes,No,java
Yes,Yes,No,Yes,24.90,0.9807,Yes,15.7,No,No,Yes,No,No,Yes,Yes,No,No,Yes,java
Yes,Yes,Yes,Yes,26.67,0.9530,Yes,11.2,No,Yes,No,No,Yes,Yes,Yes,No,No,No,java
