Name,Algorithm,Solution,Cost,Nodes Explored,Nodes Reached,Search Time
Easy 1,BFS,[A1] -> C3 -> (C2) -> C3 -> [A1],5.454750493356893,28,40,0.0002863407135009
Easy 1,UCS,[A1] -> C3 -> (C2) -> C3 -> [A1],5.454750493356893,43,56,0.0004987716674804
Easy 1,A*,[A1] -> C3 -> (C2) -> C3 -> [A1],5.454750493356893,5,14,8.893013000488281e-05
Easy 2,BFS,[M1] -> D3 -> (D1) -> D3 -> [M1] -> M2 -> (R3) -> M2 -> [M1],7.150659537584131,209,253,0.0018906593322753
Easy 2,UCS,[M1] -> M2 -> (R3) -> M2 -> [M1] -> D3 -> (D1) -> D3 -> [M1],7.150659537584129,183,229,0.0021760463714599
Easy 2,A*,[M1] -> M2 -> (R3) -> M2 -> [M1] -> D3 -> (D1) -> D3 -> [M1],7.150659537584129,16,41,0.0002710819244384
Easy 3,BFS,[D1] -> A1 -> (A2) -> A1 -> C3 -> (C2) -> C3 -> [D1] -> (D3) -> [D1],10.947449690742776,329,420,0.0030648708343505
Easy 3,UCS,[D1] -> (D3) -> D4 -> C4 -> (C2) -> C3 -> A1 -> (A2) -> A1 -> [D1],10.14243441343941,400,490,0.0051379203796386
Easy 3,A*,[D1] -> (D3) -> D4 -> C4 -> (C2) -> C3 -> A1 -> (A2) -> A1 -> [D1],10.14243441343941,40,83,0.0008060932159423
Medium 1,BFS,[Q1] -> M4 -> M1 -> D3 -> (D1) -> D2 -> I3 -> I4 -> R1 -> (R2) -> L4 -> V2 -> (V4) -> V1 -> Q3 -> Q2 -> (F3) -> Q2 -> [Q1],19.276825130018462,1410,1469,0.013772964477539
Medium 1,UCS,[Q1] -> M4 -> M1 -> D3 -> (D1) -> D3 -> M1 -> M2 -> R3 -> (R2) -> L4 -> V2 -> (V4) -> V1 -> Q3 -> Q2 -> (F3) -> Q2 -> [Q1],18.77705747185723,1405,1467,0.0185811519622802
Medium 1,A*,[Q1] -> Q2 -> (F3) -> Q2 -> Q3 -> V1 -> (V4) -> V2 -> L4 -> (R2) -> R3 -> M2 -> M1 -> D3 -> (D1) -> D3 -> M1 -> M4 -> [Q1],18.77705747185723,402,580,0.0094337463378906
